name,region,hemisphere,tissue,Y
1485,44,right,gray,RG
1486,44,right,gray,RG
1487,70,right,gray,RG
1494,44,right,white,RW
1495,44,right,gray,RG
1496,44,right,gray,RG
1497,44,right,gray,RG
1498,9,left,white,LW
1499,9,left,white,LW
1500,9,left,gray,LG
1501,11,left,gray,LG
1502,46,right,gray,RG
1503,46,right,gray,RG
1504,44,right,gray,RG
1505,44,right,white,RW
1506,44,right,white,RW
1507,44,right,gray,RG
1508,44,right,gray,RG
1510,9,left,gray,LG
1511,9,left,white,LW
1512,11,left,white,LW
1513,11,left,gray,LG
1514,11,left,gray,LG
1515,11,left,gray,LG
1516,11,left,gray,LG
1517,11,left,gray,LG
1518,46,right,gray,RG
1519,46,right,gray,RG
1520,44,right,gray,RG
1521,44,right,gray,RG
1522,44,right,gray,RG
1523,44,right,gray,RG
1524,44,right,gray,RG
1525,44,right,gray,RG
1526,9,left,gray,LG
1527,9,left,white,LW
1528,11,left,gray,LG
1529,11,left,gray,LG
1530,11,left,gray,LG
1531,11,left,white,LW
1532,11,left,white,LW
1533,11,left,gray,LG
1534,46,right,gray,RG
1535,44,right,gray,RG
1536,44,right,gray,RG
1537,44,right,gray,RG
1538,44,right,gray,RG
1539,44,right,gray,RG
1540,44,right,gray,RG
1541,44,right,gray,RG
1543,9,left,gray,LG
1544,9,left,gray,LG
1545,11,left,white,LW
1546,11,left,white,LW
1547,11,left,white,LW
1548,11,left,gray,LG
1549,11,left,gray,LG
1550,11,left,gray,LG
1551,44,right,gray,RG
1554,11,left,gray,LG
1555,11,left,white,LW
1556,11,left,gray,LG
1557,11,left,gray,LG
1590,44,right,gray,RG
1609,9,left,gray,LG
1610,9,left,gray,LG
1613,44,right,gray,RG
1614,44,right,gray,RG
1615,44,right,gray,RG
1636,9,left,gray,LG
2102,70,right,gray,RG
2106,35,left,gray,LG
2109,46,right,gray,RG
2110,44,right,gray,RG
2115,35,left,gray,LG
2116,35,left,gray,LG
2117,35,left,gray,LG
2118,35,left,white,LW
2120,35,left,gray,LG
2126,44,right,gray,RG
2129,70,right,white,RW
2130,70,right,gray,RG
2133,35,left,gray,LG
2134,35,left,gray,LG
2135,35,left,gray,LG
2137,35,left,white,LW
2138,35,left,gray,LG
2151,70,right,gray,RG
2152,70,right,white,RW
2155,35,left,gray,LG
2156,9,left,gray,LG
2157,9,left,gray,LG
2166,46,right,gray,RG
2167,46,right,gray,RG
2170,44,right,white,RW
2171,44,right,gray,RG
2172,44,right,gray,RG
2173,44,right,gray,RG
2174,70,right,gray,RG
2175,70,right,gray,RG
2177,9,left,gray,LG
2178,9,left,gray,LG
2179,9,left,gray,LG
2180,9,left,white,LW
2181,9,left,white,LW
2182,11,left,gray,LG
2183,11,left,gray,LG
2184,11,left,white,LW
2185,11,left,gray,LG
2186,11,left,gray,LG
2187,11,left,gray,LG
